,Iteration,Time,Fitness,FEvals,Population Size,Mutation Rate,max_iters
259,22,0.976508499999909,4.0,23027.0,1000.0,0.3,2500
260,23,1.019914100000051,4.0,24028.0,1000.0,0.3,2500
261,24,1.062181100000089,4.0,25029.0,1000.0,0.3,2500
262,25,1.105091800000082,4.0,26030.0,1000.0,0.3,2500
263,26,1.1495563999999376,4.0,27031.0,1000.0,0.3,2500
264,27,1.1923228999999083,4.0,28032.0,1000.0,0.3,2500
265,28,1.2337113000000954,4.0,29033.0,1000.0,0.3,2500
266,29,1.2764581999999791,4.0,30034.0,1000.0,0.3,2500
267,30,1.3188723999999183,4.0,31035.0,1000.0,0.3,2500
268,31,1.3636570999999549,4.0,32036.0,1000.0,0.3,2500
269,32,1.405082499999935,4.0,33037.0,1000.0,0.3,2500
270,33,1.4477696999999807,4.0,34038.0,1000.0,0.3,2500
271,34,1.4900139999999737,4.0,35039.0,1000.0,0.3,2500
272,35,1.532431600000109,4.0,36040.0,1000.0,0.3,2500
273,36,1.574210100000073,3.0,37042.0,1000.0,0.3,2500
274,37,0.03488939999988361,3.0,38043.0,1000.0,0.3,2500
275,38,0.08310080000001108,3.0,39044.0,1000.0,0.3,2500
276,39,0.12450530000000981,3.0,40045.0,1000.0,0.3,2500
277,40,0.16624019999994744,3.0,41046.0,1000.0,0.3,2500
278,41,0.20863799999983712,3.0,42047.0,1000.0,0.3,2500
279,42,0.25206069999990177,3.0,43048.0,1000.0,0.3,2500
280,43,0.2952285999999731,3.0,44049.0,1000.0,0.3,2500
281,44,0.3394882999998572,3.0,45050.0,1000.0,0.3,2500
282,45,0.38296470000000227,3.0,46051.0,1000.0,0.3,2500
283,46,0.42657139999982974,3.0,47052.0,1000.0,0.3,2500
284,47,0.46914079999987734,2.0,48054.0,1000.0,0.3,2500
285,48,0.5130165999999008,2.0,49055.0,1000.0,0.3,2500
286,49,0.5572216999999,2.0,50056.0,1000.0,0.3,2500
287,50,0.5992387999999664,2.0,51057.0,1000.0,0.3,2500
288,51,0.6416838000000098,2.0,52058.0,1000.0,0.3,2500
289,52,0.6850259999998798,2.0,53059.0,1000.0,0.3,2500
290,53,0.7285695999999007,2.0,54060.0,1000.0,0.3,2500
291,54,0.7721430999999939,2.0,55061.0,1000.0,0.3,2500
292,55,0.814824599999838,2.0,56062.0,1000.0,0.3,2500
293,56,0.8582816999999068,2.0,57063.0,1000.0,0.3,2500
294,57,0.9019146999999066,2.0,58064.0,1000.0,0.3,2500
295,58,0.9454960999999003,2.0,59065.0,1000.0,0.3,2500
296,59,0.9892338999998174,2.0,60066.0,1000.0,0.3,2500
297,60,1.0331646999998156,2.0,61067.0,1000.0,0.3,2500
298,61,1.076632199999949,2.0,62068.0,1000.0,0.3,2500
299,62,1.1195763999999144,2.0,63069.0,1000.0,0.3,2500
300,63,1.1619046999999227,2.0,64070.0,1000.0,0.3,2500
301,64,1.2046210999999403,2.0,65071.0,1000.0,0.3,2500
302,65,1.2468638999998802,2.0,66072.0,1000.0,0.3,2500
303,66,1.2896595999998226,2.0,67073.0,1000.0,0.3,2500
304,67,1.3337017999999716,2.0,68074.0,1000.0,0.3,2500
305,68,1.3777847999999722,2.0,69075.0,1000.0,0.3,2500
306,69,1.4223035999998501,2.0,70076.0,1000.0,0.3,2500
307,70,1.4658119999999144,2.0,71077.0,1000.0,0.3,2500
308,71,1.5097622999999203,2.0,72078.0,1000.0,0.3,2500
309,72,1.5536888999999974,2.0,73079.0,1000.0,0.3,2500
310,73,1.5989418999999998,2.0,74080.0,1000.0,0.3,2500
311,74,1.6441430999998374,2.0,75081.0,1000.0,0.3,2500
312,75,1.6878897999999936,2.0,76082.0,1000.0,0.3,2500
313,76,1.7307882000000063,2.0,77083.0,1000.0,0.3,2500
314,77,1.7743826999999328,2.0,78084.0,1000.0,0.3,2500
315,78,1.8173428000000058,2.0,79085.0,1000.0,0.3,2500
316,79,1.8609152999999878,2.0,80086.0,1000.0,0.3,2500
317,80,1.904549599999882,2.0,81087.0,1000.0,0.3,2500
318,81,1.9464210999999523,2.0,82088.0,1000.0,0.3,2500
319,82,1.989896999999928,2.0,83089.0,1000.0,0.3,2500
320,83,0.03536819999999352,2.0,84090.0,1000.0,0.3,2500
321,84,0.08485360000008768,2.0,85091.0,1000.0,0.3,2500
322,85,0.1272707000000537,2.0,86092.0,1000.0,0.3,2500
323,86,0.1696518000001106,2.0,87093.0,1000.0,0.3,2500
324,87,0.21249469999997928,2.0,88094.0,1000.0,0.3,2500
325,88,0.2552860000000692,1.0,89096.0,1000.0,0.3,2500
326,89,0.29924110000001747,1.0,90097.0,1000.0,0.3,2500
327,90,0.3430045000000064,1.0,91098.0,1000.0,0.3,2500
328,91,0.38675820000003114,1.0,92099.0,1000.0,0.3,2500
329,92,0.4303353000000243,1.0,93100.0,1000.0,0.3,2500
330,93,0.47269570000003114,1.0,94101.0,1000.0,0.3,2500
331,94,0.5151201000001038,1.0,95102.0,1000.0,0.3,2500
332,95,0.5570004000001063,1.0,96103.0,1000.0,0.3,2500
333,96,0.6003648000000794,1.0,97104.0,1000.0,0.3,2500
334,97,0.6435610000000906,1.0,98105.0,1000.0,0.3,2500
335,98,0.6874801999999818,1.0,99106.0,1000.0,0.3,2500
336,99,0.7306843000001209,1.0,100107.0,1000.0,0.3,2500
337,100,0.7738850000000639,1.0,101108.0,1000.0,0.3,2500
338,101,0.8174126999999771,1.0,102109.0,1000.0,0.3,2500
339,102,0.8597581999999875,1.0,103110.0,1000.0,0.3,2500
340,103,0.9033346000001075,1.0,104111.0,1000.0,0.3,2500
341,104,0.947171199999957,1.0,105112.0,1000.0,0.3,2500
342,105,0.9894033000000491,1.0,106113.0,1000.0,0.3,2500
343,106,1.0331665000001067,1.0,107114.0,1000.0,0.3,2500
344,107,1.0754249000001437,1.0,108115.0,1000.0,0.3,2500
345,108,1.119142600000032,1.0,109116.0,1000.0,0.3,2500
346,109,1.1632610999999997,1.0,110117.0,1000.0,0.3,2500
347,110,1.2072107000001324,1.0,111118.0,1000.0,0.3,2500
348,111,1.2508516000000327,1.0,112119.0,1000.0,0.3,2500
349,112,1.2967049000001225,1.0,113120.0,1000.0,0.3,2500
350,113,1.3395600000001195,1.0,114121.0,1000.0,0.3,2500
351,114,1.381731899999977,1.0,115122.0,1000.0,0.3,2500
352,115,1.425993900000094,0.0,116124.0,1000.0,0.3,2500
353,0,0.03536149999990812,18.0,1000.0,1000.0,0.5,2500
354,1,0.08375139999998282,8.0,2002.0,1000.0,0.5,2500
355,2,0.1247656000000461,8.0,3003.0,1000.0,0.5,2500
356,3,0.16674409999995987,8.0,4004.0,1000.0,0.5,2500
357,4,0.20824760000004972,8.0,5005.0,1000.0,0.5,2500
358,5,0.25029429999995045,7.0,6007.0,1000.0,0.5,2500
359,6,0.2931559000001016,7.0,7008.0,1000.0,0.5,2500
360,7,0.33454120000010334,7.0,8009.0,1000.0,0.5,2500
361,8,0.3775087999999869,6.0,9011.0,1000.0,0.5,2500
362,9,0.42038370000000214,6.0,10012.0,1000.0,0.5,2500
363,10,0.4629433000000063,6.0,11013.0,1000.0,0.5,2500
364,11,0.50511060000008,6.0,12014.0,1000.0,0.5,2500
365,12,0.5475083000001177,5.0,13016.0,1000.0,0.5,2500
366,13,0.5909504000001107,5.0,14017.0,1000.0,0.5,2500
367,14,0.6337091000000328,5.0,15018.0,1000.0,0.5,2500
368,15,0.6768809000000147,5.0,16019.0,1000.0,0.5,2500
369,16,0.7201634999998987,5.0,17020.0,1000.0,0.5,2500
370,17,0.763080200000104,5.0,18021.0,1000.0,0.5,2500
371,18,0.8055471000000125,5.0,19022.0,1000.0,0.5,2500
372,19,0.8470727999999781,5.0,20023.0,1000.0,0.5,2500
373,20,0.890117200000077,5.0,21024.0,1000.0,0.5,2500
374,21,0.9331214000001182,5.0,22025.0,1000.0,0.5,2500
375,22,0.976508499999909,5.0,23026.0,1000.0,0.5,2500
376,23,1.019914100000051,5.0,24027.0,1000.0,0.5,2500
377,24,1.062181100000089,5.0,25028.0,1000.0,0.5,2500
378,25,1.105091800000082,5.0,26029.0,1000.0,0.5,2500
379,26,1.1495563999999376,5.0,27030.0,1000.0,0.5,2500
380,27,1.1923228999999083,5.0,28031.0,1000.0,0.5,2500
381,28,1.2337113000000954,5.0,29032.0,1000.0,0.5,2500
382,29,1.2764581999999791,2.0,30034.0,1000.0,0.5,2500
383,30,1.3188723999999183,2.0,31035.0,1000.0,0.5,2500
384,31,1.3636570999999549,2.0,32036.0,1000.0,0.5,2500
385,32,1.405082499999935,2.0,33037.0,1000.0,0.5,2500
386,33,1.4477696999999807,2.0,34038.0,1000.0,0.5,2500
387,34,1.4900139999999737,2.0,35039.0,1000.0,0.5,2500
388,35,1.532431600000109,2.0,36040.0,1000.0,0.5,2500
389,36,1.574210100000073,2.0,37041.0,1000.0,0.5,2500
390,37,0.03488939999988361,2.0,38042.0,1000.0,0.5,2500
391,38,0.08310080000001108,2.0,39043.0,1000.0,0.5,2500
392,39,0.12450530000000981,2.0,40044.0,1000.0,0.5,2500
393,40,0.16624019999994744,2.0,41045.0,1000.0,0.5,2500
394,41,0.20863799999983712,2.0,42046.0,1000.0,0.5,2500
395,42,0.25206069999990177,2.0,43047.0,1000.0,0.5,2500
396,43,0.2952285999999731,2.0,44048.0,1000.0,0.5,2500
397,44,0.3394882999998572,2.0,45049.0,1000.0,0.5,2500
398,45,0.38296470000000227,2.0,46050.0,1000.0,0.5,2500
399,46,0.42657139999982974,2.0,47051.0,1000.0,0.5,2500
400,47,0.46914079999987734,2.0,48052.0,1000.0,0.5,2500
401,48,0.5130165999999008,2.0,49053.0,1000.0,0.5,2500
402,49,0.5572216999999,2.0,50054.0,1000.0,0.5,2500
403,50,0.5992387999999664,2.0,51055.0,1000.0,0.5,2500
404,51,0.6416838000000098,2.0,52056.0,1000.0,0.5,2500
405,52,0.6850259999998798,2.0,53057.0,1000.0,0.5,2500
406,53,0.7285695999999007,2.0,54058.0,1000.0,0.5,2500
407,54,0.7721430999999939,2.0,55059.0,1000.0,0.5,2500
408,55,0.814824599999838,2.0,56060.0,1000.0,0.5,2500
409,56,0.8582816999999068,2.0,57061.0,1000.0,0.5,2500
410,57,0.9019146999999066,2.0,58062.0,1000.0,0.5,2500
411,58,0.9454960999999003,2.0,59063.0,1000.0,0.5,2500
412,59,0.9892338999998174,2.0,60064.0,1000.0,0.5,2500
